,Call type,Sequence ID,User name,Call from,Call to,Account name,Contact person name,Dial begin time,Call begin time,Call end time,Ringing time,Call duration,Call memo,Overall,Number of silences,Number of overlaps,Talk:Listen,Fundamental frequency (Operator),Fundamental frequency (Customer),Intonation strength (Operator),Intonation strength (Customer),Speech rate (Operator),Speech rate (Customer),Speech rate (Operator - Relative),Speech rate (Customer - Relative),Number of Rallies,Keywords (Operator),Keywords (Customer)
1,Outbound call,77d8e59d-f62b-4532-87e7-d48054862948,User 01,021-3026-5452,(0341) 2996333,RSU Persada Hospital,-,2025-04-08T01:42:30.409002+00:00,2025-04-08T01:42:35.231529+00:00,2025-04-08T01:44:14.794348+00:00,00:00:05,00:01:39,diinfo IT sedang rapat,24.9,0,1,21.01 %,98.0,242.34,22.63,25.98,14.19,10.9,30.15 %,-23.16 %,10,,
2,Outbound call,c4c4ceeb-2d41-41f0-9cdb-3ccb2efac5d6,User 01,021-3026-5452,(031) 3943500,RS Fathma Medika,-,2025-04-08T01:50:40.770463+00:00,2025-04-08T01:50:47.495783+00:00,2025-04-08T02:00:12.593694+00:00,00:00:07,00:09:25,Terhubung dengan IT bernama pak angga bersedia di-wa,60.4,4,5,49.61 %,105.67,232.51,16.99,22.19,11.41,7.37,54.82 %,-35.41 %,83,,
3,Outbound call (Missed),857d59d5-9b5f-463f-ad34-66e6ce2830bd,User 01,021-3026-5452,(0341) 754075,RS Ibu dan Anak Refa husada,-,2025-04-08T02:06:50.198398+00:00,-,2025-04-08T02:06:55.018714+00:00,00:00:05,00:00:00,__TAG_AI_AMD__,-,,,-,-,-,-,-,-,-,-,-,,,
4,Outbound call (Missed),23626dd4-9c95-4045-b844-effd988ca0f9,User 01,021-3026-5452,(031) 59173300,RS Gigi dan Mulut Nala Husada,-,2025-04-08T02:32:32.394297+00:00,-,2025-04-08T02:32:40.038556+00:00,00:00:08,00:00:00,__TAG_AI_AMD__,-,,,-,-,-,-,-,-,-,-,-,,,
5,Outbound call,3e934851-8097-4106-be79-1b8b702dee13,User 01,021-3026-5452,(0341) 551356,RS Islam Malang,-,2025-04-08T02:36:28.172584+00:00,2025-04-08T02:36:38.348857+00:00,2025-04-08T02:37:25.381873+00:00,00:00:10,00:00:47,sudah tekan nol namun diinfo sedang sibuk,0.0,1,1,4.93 %,112.1,258.49,-,18.74,-,10.33,-,-,3,,
6,Outbound call (Missed),1bbeeecb-b08a-402e-9f0c-3565cc959fd6,User 01,021-3026-5452,(031) 7532653,RS. Wiyung Sejahtera,-,2025-04-08T02:48:32.941228+00:00,-,2025-04-08T02:49:03.269528+00:00,00:00:31,00:00:00,Tidak Diangkat / No Answer,-,,,-,-,-,-,-,-,-,-,-,,,
7,Outbound call,5f3f356e-e980-44d4-be9f-4940a2d60472,User 01,021-3026-5452,(031) 99851925,RSIA Perdana Medica,Ida / Admin,2025-04-08T02:56:53.336028+00:00,2025-04-08T02:57:04.614321+00:00,2025-04-08T02:57:35.531528+00:00,00:00:11,00:00:31,diinfo IT sedang tidak ditempat,30.0,0,0,60.24 %,104.23,257.7,14.53,18.71,13.07,9.4,39.09 %,-28.11 %,4,,
8,Outbound call,19cae6cc-186c-4f9b-b6cf-3cc5b3751c53,User 01,021-3026-5452,(0342) 553472,RS Umum Ananda,-,2025-04-08T03:01:02.363836+00:00,2025-04-08T03:01:24.377671+00:00,2025-04-08T03:01:26.360388+00:00,00:00:22,00:00:02,Reception Rejected,0.0,0,0,100.00 %,-,-,-,-,11.06,-,-,-,0,,
9,Outbound call (Missed),f90617d8-832a-4f79-ba29-96f4fe6e8cbb,User 01,021-3026-5452,(0322) 661412,RS Umum dr. Suyudi,-,2025-04-08T03:04:06.053079+00:00,-,2025-04-08T03:05:10.591372+00:00,00:01:04,00:00:00,Tidak Diangkat / No Answer,-,,,-,-,-,-,-,-,-,-,-,,,
10,Outbound call,b5a8b203-ea5f-4b64-8571-e1a7034786e6,User 01,021-3026-5452,(0341) 480047,RS Ibu dan Anak Puri Bunda,-,2025-04-08T03:06:50.802628+00:00,2025-04-08T03:07:23.481775+00:00,2025-04-08T03:09:38.046660+00:00,00:00:33,00:02:15,sudah coba disambungkan ke IT namun tidak diangkat2,0.0,0,7,16.96 %,99.72,232.68,14.74,25.54,12.65,5.17,144.66 %,-59.13 %,12,,
